username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
,2019-01-23 17:37,0,0,liberdade aos venezuelanos fora maduro o povo tomou as ruas,,,,1088158810294943746,https://twitter.com/FatimaMadureira/status/1088158810294943746
,2019-01-23 17:35,0,2,gritemosconbrio pessoal vamos subir essa campanha em apoio aos nossos vizinhos venezuelanos pra eles saberem que não estão sozinhos nesse momento de luta fora maduro,,,#gritemosconbrio,1088158206772367362,https://twitter.com/Dark_nigth2017/status/1088158206772367362
,2019-01-23 17:32,0,1,pela liberdade de nossos vizinhos venezuelanos fora maduro foramaduro 23ecallehastaquesevaya pictwittercom5olxtmfohc,,,#ForaMaduro #23ECalleHastaQueSeVaya,1088157535574638592,https://twitter.com/gmgabrielmilan/status/1088157535574638592
,2019-01-23 17:17,0,0,prosperidade e um ótimo futuro de paz aos nossos irmãos venezuelanos pueblo_hnos fora maduro https twittercomjairbolsonaro status1088152739388014593,,@pueblo_hnos,,1088153892959981568,https://twitter.com/JOAOMARCILIOJr1/status/1088153892959981568
,2019-01-23 17:17,0,1,muita força irmãos venezuelanos fora maduro 23ene,,,#23Ene,1088153670326407168,https://twitter.com/doracmc/status/1088153670326407168
,2019-01-23 16:59,0,2,nós conseguimos aqui no brasil vocês vão conseguir também venezuelanos fora maduro narcoditador 23ecallehastaquesevaya,,,#23ECalleHastaQueSeVaya,1088149196123852802,https://twitter.com/denypsolon/status/1088149196123852802
,2019-01-23 16:36,4,5,que deus proteja esse povo sofrido da venezuela guerra civil começando em 321 força venezuelanos fora maduro https twittercomfn7kstatus10 88117607113392128,,,,1088143384190111745,https://twitter.com/iabsilva2/status/1088143384190111745
,2019-01-23 16:33,0,0,ditadura bandida criminosa e suja que maduro seja logo deposto e os irmãos venezuelanos enfim tenham restabelecida a ordem democracia soberania e seus direitos respeitados fora maduro,,,,1088142711390199808,https://twitter.com/Osvald1980/status/1088142711390199808
,2019-01-23 16:15,0,4,força venezuelanos fora maduro,,,,1088138206879592448,https://twitter.com/Nivea_SpesEst/status/1088138206879592448
,2019-01-23 15:39,1,3,viva venezuelanos força irmãos fora maduro fora bolivarianos 4 mortos nos protestos de hoje por lá somos uns abençoados pra protestar sem mortes no brasil só falta vivermos sem matar e morrer no cotidiano livresdocomunismo foramaduro pictwittercomtd67g1xsc7,,,#livresdocomunismo #foramaduro,1088129121430003718,https://twitter.com/ClaudiaRiecken/status/1088129121430003718
,2019-01-23 15:20,0,0,estamos com vocês irmãos venezuelanos liberdade a venezuela fora maduro 23callehastaquesevaya,,,#23CalleHastaQueSeVaya,1088124237926281216,https://twitter.com/didislap/status/1088124237926281216
,2019-01-23 14:48,0,0,você acha mesmo que está protegendo seu povo tem vários venezuelanos chegando em manaus e boa vista em situações muito críticas enquanto você só engorda comendo em restaurantes caríssimos seu povo passa fome crie vergonha na sua cara seu desumano fora maduro,,,,1088116301162258435,https://twitter.com/Anna_pr_/status/1088116301162258435
,2019-01-23 14:43,0,0,os venezuelanos gritam fora maduro https twittercombolsonarospst atus1088114394876297216,,,,1088114930350465024,https://twitter.com/claudioantunesy/status/1088114930350465024
,2019-01-23 14:38,2,3,força irmãos venezuelanos fora ditador venezuela livre venezuelagritalibertad,,,#VenezuelaGritaLibertad,1088113839474966535,https://twitter.com/liliapoci/status/1088113839474966535
,2019-01-23 14:12,18,32,como aconteceu no brasil onde a mídia mundial voltou sua atenção para nós a mídia brasileira virou as costas para os irmãos venezuelanos os vídeos que estamos reportando aqui na explora são os mesmo que estão sendo propagados mundo a fora pictwittercom877vnqgnab,,,,1088107241415294977,https://twitter.com/digital_explora/status/1088107241415294977
,2019-01-23 13:23,0,1,avante venezuelanos amantes da liberdade e da democracia fora maduro viva o povo venezuelano laranjaldaglobonews https twittercomjguaidostatus 1088085779711176704,,,#LaranjalDaGloboNews,1088094800329494529,https://twitter.com/LuizOsanai/status/1088094800329494529
